Subject,Name,d1EI,d2EI,d3EI,p1EI,p2EI,p3EI,d1EE,d2EE,d3EE,p1EE,p2EE,p3EE
AGING001,AGING001,768,768,611,0.440104,0.440104,0.5,768,768,45,0.439531,0.439531,5
AGING002,AGING002,768,768,492,0.421875,0.421875,0.5,768,768,48,0.420025,0.420025,5
AGING003,AGING003,768,768,652,0.434896,0.434896,0.5,768,768,65,0.431729,0.431729,5
AGING004,AGING004,768,768,551,0.41276,0.41276,0.5,768,768,44,0.409622,0.409622,5
AGING006,AGING006,768,768,690,0.480469,0.480469,0.5,768,768,53,0.478543,0.478543,5
AGING007,AGING007,768,768,611,0.393229,0.393229,0.5,,,,,,
AGING009,AGING009,768,768,602,0.438802,0.438802,0.5,768,768,53,0.443432,0.443432,5
AGING010,AGING010,768,768,611,0.410156,0.410156,0.5,768,768,49,0.407021,0.407021,5
AGING011,AGING011,768,768,626,0.440104,0.440104,0.5,768,768,60,0.46814,0.46814,5
AGING012,AGING012,768,768,616,0.455729,0.455729,0.5,768,768,47,0.462938,0.462938,5
AGING013,AGING013,768,768,611,0.455729,0.455729,0.5,768,768,52,0.444733,0.444733,5
AGING014,AGING014,768,768,571,0.455729,0.455729,0.5,768,768,45,0.453835,0.453835,5
AGING015,AGING015,768,768,597,0.498698,0.498698,0.5,768,768,53,0.492847,0.492847,5
AGING017,AGING017,768,768,533,0.513021,0.513021,0.5,768,768,49,0.507151,0.507151,5
AGING018,AGING018,768,768,626,0.455729,0.455729,0.5,768,768,50,0.452535,0.452535,5
AGING020,AGING020,768,768,542,0.393229,0.393229,0.5,768,768,45,0.394018,0.394018,5
AGING021,AGING021,768,768,619,0.455729,0.455729,0.5,768,768,52,0.447466,0.447466,5
AGING022,AGING022,768,768,580,0.455729,0.455729,0.5,768,768,49,0.451235,0.451235,5
AGING023,AGING023,768,768,630,0.529948,0.529948,0.5,768,768,53,0.531859,0.531859,5
AGING024,AGING024,768,768,550,0.428385,0.428385,0.5,768,768,49,0.429128,0.429128,5
AGING025,AGING025,768,768,535,0.421875,0.421875,0.5,768,768,48,0.421326,0.421326,5
AGING026,AGING026,768,768,534,0.416667,0.416667,0.5,768,768,45,0.416124,0.416124,5
AGING028,AGING028,768,768,557,0.378906,0.378906,0.5,768,768,49,0.378413,0.378413,5
AGING030,AGING030,768,768,673,0.480469,0.480469,0.5,768,768,53,0.481144,0.481144,5
AGING031,AGING031,768,768,611,0.455729,0.455729,0.5,768,768,53,0.456436,0.456436,5
AGING033,AGING033,768,768,611,0.480469,0.480469,0.5,768,768,50,0.481144,0.481144,5
AGING038,AGING038,768,768,711,0.455729,0.455729,0.5,768,768,52,0.456436,0.456436,5
AGING039,AGING039,768,768,562,0.423177,0.423177,0.5,768,768,45,0.421326,0.421326,5
AGING040,AGING040,768,768,601,0.386719,0.386719,0.5,768,768,49,0.387011,0.387011,4.999996
AGING041,AGING041,768,768,592,0.398438,0.398438,0.5,768,768,45,0.399219,0.399219,5
AGING043,AGING043,768,768,577,0.455729,0.455729,0.5,768,768,47,0.451235,0.451235,5
AGING044,AGING044,768,768,691,0.455729,0.455729,0.5,768,768,59,0.453244,0.453244,5
AGING045,AGING045,768,768,590,0.455729,0.455729,0.5,768,768,44,0.456436,0.456436,5
AGING046,AGING046,768,768,614,0.47526,0.47526,0.5,768,768,53,0.473341,0.473341,5
AGING047,AGING047,768,768,666,0.455729,0.455729,0.5,768,768,53,0.453835,0.453835,5
AGING048,AGING048,768,768,598,0.484375,0.484375,0.5,768,768,55,0.482444,0.482444,5
AGING049,AGING049,768,768,659,0.481771,0.481771,0.5,768,768,49,0.481144,0.481144,5
AGING050,AGING050,768,768,640,0.455729,0.455729,0.5,768,768,49,0.452535,0.452535,5
AGING051,AGING051,768,768,581,0.455729,0.455729,0.5,768,768,49,0.448634,0.448634,5
AGING053,AGING053,512,512,568,0.589844,0.589844,0.5,768,768,50,0.395318,0.395318,5
AGING054,AGING054,768,768,582,0.455729,0.455729,0.5,768,768,48,0.455136,0.455136,5
AGING055,AGING055,768,768,583,0.403646,0.403646,0.5,768,768,50,0.40312,0.40312,5
AGING058,AGING058,512,512,642,0.738281,0.738281,0.5,512,512,60,0.74566,0.74566,5
AGING060,AGING060,512,512,547,0.664062,0.664062,0.5,512,512,52,0.670444,0.670444,5
AGING061,AGING061,512,512,601,0.683594,0.683594,0.5,512,512,54,0.709715,0.709715,5
AGING062,AGING062,512,512,683,0.683594,0.683594,0.5,512,512,58,0.710162,0.710162,5
AGING063,AGING063,512,512,578,0.742188,0.742188,0.5,512,512,47,0.747929,0.747929,5
H644,P1BRP002-H644,512,512,1105,0.683594,0.683594,0.3,,,,,,
H653,P2BRP001-H653,512,512,519,0.558594,0.558594,0.6,512,512,519,0.558594,0.558594,0.6
H655,P2BRP003-H655,512,512,557,0.679688,0.679688,0.601079,512,512,490,0.679688,0.679688,0.6
H657,P2BRP005-H657,512,512,561,0.634766,0.634766,0.6,512,512,550,0.634766,0.634766,0.6
H670,P2BRP018-H670,512,512,488,0.517578,0.517578,0.6,512,512,488,0.517578,0.517578,0.6
H673,P2BRP021-H673,512,512,569,0.599609,0.599609,0.6,512,512,470,0.599609,0.599609,0.6
